fechacreacion;numeroincidente;duraciondias;idservicio;idtipodeservicio;identorno;idprioridad;idestado
2020-01-17;INC002000000387;10.4649;47;2;2;2;10
2020-01-17;INC002000000388;12.4402;60;2;2;4;9
2020-01-17;INC002000000389;11.4365;101;1;2;1;10
2020-01-17;INC002000000390;10.4299;103;1;2;2;10
2020-01-17;INC002000000391;26.4279;175;2;2;4;10
2020-01-17;INC002000000394;10.2136;56;2;2;2;10
2020-01-19;INC002000000395;7.87201;29;2;2;4;9
2020-01-19;INC002000000396;17.8684;47;2;2;2;10
2020-01-19;INC002000000398;7.74638;146;2;2;1;10
2020-01-19;INC002000000399;7.74012;146;2;2;1;10
2020-01-19;INC002000000400;12.6779;146;2;2;4;10
2020-01-17;INC002000000401;7.68917;150;2;2;1;9
2020-01-17;INC002000000402;0.0996181;162;2;2;4;9
2020-01-17;INC002000000404;7.67771;136;1;2;4;9
2020-01-17;INC002000000405;9.66203;109;1;2;2;9
2020-01-17;INC002000000406;10.6557;16;1;2;2;9
2020-01-17;INC002000000408;96.6918;43;1;2;1;10
2020-01-17;INC002000000409;13.6442;16;1;2;2;10
2020-01-17;INC002000000410;28.6476;43;1;2;4;9
2020-01-17;INC002000000411;7.63756;129;1;2;1;9
2020-01-17;INC002000000414;7.62311;129;2;2;4;9
2020-01-17;INC002000000415;41.6095;162;2;2;1;10
2020-01-17;INC002000000416;4.90522;63;2;2;1;10
2020-01-17;INC002000000417;24.5977;175;1;2;4;9
2020-01-17;INC002000000418;13.5977;39;1;2;4;9
2020-01-17;INC002000000419;42.597;29;1;2;2;10
2020-01-17;INC002000000420;18.5968;175;1;2;4;9
2020-01-17;INC002000000421;11.5965;175;1;2;4;9
2020-01-17;INC002000000422;12.5934;175;1;2;4;10
2020-01-17;INC002000000424;18.59;28;1;2;1;10
2020-01-17;INC002000000427;27.5774;175;1;2;2;10
2020-01-17;INC002000000428;10.576;41;1;2;2;9
2020-01-17;INC002000000429;4.08094;175;1;2;4;9
2020-01-17;INC002000000430;8.5737;31;2;2;4;9
2020-01-17;INC002000000431;10.5708;175;1;2;1;10
2020-01-17;INC002000000432;20.5579;150;2;2;1;10
2020-01-17;INC002000000433;18.5568;129;1;2;4;9
2020-01-17;INC002000000434;12.5567;129;1;2;1;9
2020-01-17;INC002000000435;10.5506;150;1;2;1;9
2020-01-17;INC002000000436;10.5479;43;1;2;4;9
2020-01-17;INC002000000437;7.54751;150;2;2;1;9
2020-01-17;INC002000000439;7.54355;135;1;2;1;10
2020-01-17;INC002000000440;7.5402;15;1;2;4;9
2020-01-17;INC002000000441;13.5369;150;1;2;1;10
2020-01-17;INC002000000443;12.5224;129;1;2;4;10
2020-01-17;INC002000000444;10.5108;68;2;2;1;10
2020-01-17;INC002000000445;10.5098;175;1;2;4;9
2020-01-17;INC002000000446;7.50931;103;1;2;4;10
2020-01-17;INC002000000447;10.5085;157;1;2;4;9
2020-01-17;INC002000000448;10.5075;129;2;2;4;9
2020-01-17;INC002000000450;19.4972;69;1;2;1;9
2020-01-17;INC002000000451;18.495;68;1;2;4;9
2020-01-17;INC002000000453;12.4285;68;2;2;1;10
2020-01-17;INC002000000456;12.333;157;2;2;4;10
2020-01-17;INC002000000457;28.2712;129;2;2;2;10
2020-01-17;INC002000000458;11.2482;157;2;2;1;9
2020-01-17;INC002000000459;10.2134;47;2;2;2;10
2020-01-17;INC002000000460;17.1754;47;2;2;2;10
2020-01-18;INC002000000461;7.78119;31;2;2;2;9
2020-01-18;INC002000000463;9.63551;157;2;2;2;9
2020-01-18;INC002000000464;8.31962;129;2;2;1;10
2020-01-20;INC002000000465;14.979;47;2;2;1;10
2020-01-20;INC002000000466;21.7989;39;2;2;4;10
2020-01-20;INC002000000467;8.79679;175;1;2;4;10
2020-01-20;INC002000000468;8.75907;129;2;2;4;10
2020-01-20;INC002000000470;16.7543;154;1;2;4;9
2020-01-20;INC002000000471;7.75376;157;1;2;4;10
2020-01-20;INC002000000472;10.7524;91;1;2;4;9
2020-01-20;INC002000000473;7.7505;101;1;2;4;9
2020-01-20;INC002000000474;10.7498;109;1;2;4;9
2020-01-20;INC002000000475;7.74566;108;2;2;4;9
2020-01-20;INC002000000477;7.71152;68;1;2;2;9
2020-01-20;INC002000000478;10.6965;175;1;2;2;10
2020-01-20;INC002000000479;11.6934;175;1;2;4;10
2020-01-20;INC002000000480;10.6828;129;1;2;4;10
2020-01-20;INC002000000481;9.67608;175;2;2;2;10
2020-01-20;INC002000000482;8.67465;15;1;2;1;9
2020-01-20;INC002000000483;37.6714;65;2;2;1;10
2020-01-20;INC002000000484;11.6654;39;2;2;1;9
2020-01-20;INC002000000485;14.6636;129;2;1;4;11
2020-01-20;INC002000000486;31.6594;29;2;2;4;9
2020-01-20;INC002000000488;7.64913;129;2;2;4;11
2020-01-20;INC002000000489;7.64253;129;1;1;4;11
2020-01-20;INC002000000490;17.6424;39;2;2;1;10
2020-01-20;INC002000000491;9.6363;129;2;2;1;10
2020-01-20;INC002000000492;8.63537;108;1;2;4;9
2020-01-20;INC002000000494;14.6323;175;1;2;4;9
2020-01-20;INC002000000495;7.63149;154;1;2;4;9
2020-01-20;INC002000000496;11.6193;39;2;2;4;9
2020-01-20;INC002000000497;8.61912;175;2;2;4;10
2020-01-20;INC002000000498;7.61787;175;1;2;4;10
2020-01-20;INC002000000500;9.60847;103;1;2;4;10
2020-01-19;INC002000000501;10.509;143;2;2;4;10
2020-01-20;INC002000000502;11.0422;47;1;2;1;9
2020-01-20;INC002000000503;7.74328;157;1;2;4;10
2020-01-20;INC002000000504;7.73922;175;2;2;4;10
2020-01-20;INC002000000506;7.73797;68;1;2;4;10
2020-01-20;INC002000000507;9.73669;108;2;2;4;9
2020-01-20;INC002000000508;37.7235;68;2;2;1;10
2020-01-20;INC002000000509;10.7205;33;1;2;4;9
2020-01-20;INC002000000511;8.71541;175;1;2;4;10
2020-01-20;INC002000000512;7.71488;103;2;2;4;10
2020-01-20;INC002000000513;7.71119;144;2;2;4;10
2020-01-20;INC002000000514;7.70972;16;1;2;4;9
2020-01-20;INC002000000515;7.70964;16;1;2;2;9
2020-01-20;INC002000000516;11.6998;175;1;2;4;10
2020-01-20;INC002000000517;7.69895;135;1;2;2;9
2020-01-20;INC002000000518;24.6942;172;1;2;4;10
2020-01-20;INC002000000519;7.10273;63;1;2;4;9
2020-01-20;INC002000000520;16.6636;175;2;2;4;10
2020-01-20;INC002000000521;10.6612;175;2;2;4;10
2020-01-20;INC002000000523;7.64758;154;1;2;4;9
2020-01-20;INC002000000524;8.64414;47;1;2;4;9
2020-01-20;INC002000000525;7.63543;83;1;2;4;9
2020-01-20;INC002000000527;8.62811;146;1;2;4;9
2020-01-20;INC002000000529;7.62539;103;2;2;4;10
2020-01-20;INC002000000531;16.5995;33;1;2;4;10
2020-01-20;INC002000000532;7.59917;129;1;2;4;9
2020-01-20;INC002000000533;11.5889;39;1;2;4;10
2020-01-20;INC002000000534;9.58837;103;1;2;4;10
2020-01-20;INC002000000535;7.56705;150;1;2;1;9
2020-01-20;INC002000000536;7.54874;146;1;2;4;9
2020-01-20;INC002000000537;11.538;39;1;2;4;10
2020-01-20;INC002000000538;11.5306;39;1;2;1;9
2020-01-20;INC002000000539;14.523;33;1;2;4;10
2020-01-20;INC002000000540;11.4983;129;1;2;1;10
2020-01-20;INC002000000541;11.4878;129;1;2;1;10
2020-01-20;INC002000000542;7.48763;47;1;2;1;10
2020-01-20;INC002000000543;8.47428;129;1;2;1;10
2020-01-20;INC002000000545;8.46906;27;1;2;4;10
2020-01-20;INC002000000546;11.4643;129;1;2;4;10
2020-01-20;INC002000000547;8.45609;117;1;2;4;9
2020-01-20;INC002000000548;11.453;129;1;2;1;10
2020-01-20;INC002000000549;22.4526;29;1;2;4;9
2020-01-20;INC002000000550;9.4483;47;1;1;4;11
2020-01-20;INC002000000552;17.4341;25;1;2;4;10
2020-01-20;INC002000000554;8.42868;25;2;2;1;10
2020-01-20;INC002000000555;7.42825;68;1;2;4;9
2020-01-20;INC002000000556;10.4271;15;2;2;1;10
2020-01-20;INC002000000558;8.41856;78;1;2;4;9
2020-01-20;INC002000000559;11.4132;39;1;2;4;9
2020-01-20;INC002000000560;8.41025;129;2;2;4;10
2020-01-20;INC002000000561;8.40624;129;2;2;1;10
2020-01-20;INC002000000562;9.40453;68;1;2;4;9
2020-01-20;INC002000000563;16.4035;129;2;2;1;9
2020-01-20;INC002000000565;7.39878;103;2;2;4;10
2020-01-20;INC002000000566;7.39466;175;2;2;4;9
2020-01-20;INC002000000567;9.39312;154;1;2;4;9
2020-01-20;INC002000000568;14.3917;159;2;2;4;10
2020-01-20;INC002000000570;8.38883;47;1;2;4;9
2020-01-20;INC002000000571;14.3837;39;2;2;4;10
2020-01-20;INC002000000572;14.3801;129;1;2;4;9
2020-01-20;INC002000000573;8.37607;63;2;2;4;10
2020-01-20;INC002000000574;14.5751;63;1;2;4;10
2020-01-21;INC002000000575;7.81219;103;2;2;4;10
2020-01-21;INC002000000576;7.79955;25;2;2;4;10
2020-01-21;INC002000000578;13.7766;39;1;2;4;10
2020-01-21;INC002000000579;8.77271;150;1;2;2;9
2020-01-21;INC002000000581;7.75902;110;2;2;4;10
2020-01-21;INC002000000582;7.75617;72;2;2;1;10
2020-01-21;INC002000000583;10.7546;39;1;2;1;9
2020-01-21;INC002000000584;15.7193;39;2;2;4;10
2020-01-21;INC002000000585;13.7187;56;2;2;4;10
2020-01-21;INC002000000586;15.7186;175;1;2;4;9
2020-01-21;INC002000000587;9.71426;16;1;2;4;9
2020-01-21;INC002000000589;37.7014;60;1;2;1;10
2020-01-21;INC002000000590;10.6972;39;1;2;4;10
2020-01-21;INC002000000591;21.2905;161;1;2;4;9
2020-01-21;INC002000000592;9.6922;129;1;2;4;10
2020-01-21;INC002000000593;7.69015;103;2;2;1;10
2020-01-21;INC002000000594;9.68949;72;1;2;4;10
2020-01-21;INC002000000595;13.6885;39;1;2;4;10
2020-01-21;INC002000000596;8.68826;29;1;2;2;9
2020-01-21;INC002000000598;10.6748;39;2;2;1;10
2020-01-21;INC002000000599;14.6741;47;1;2;1;10
2020-01-21;INC002000000600;16.6737;39;1;2;4;9
2020-01-20;INC002000000602;8.59403;47;2;2;4;10
2020-01-20;INC002000000603;11.5821;76;1;2;1;9
2020-01-20;INC002000000604;22.5732;172;1;2;4;10
2020-01-20;INC002000000606;8.56876;129;1;2;4;9
2020-01-20;INC002000000607;7.56714;103;1;2;4;10
2020-01-20;INC002000000611;8.54926;15;1;2;1;9
2020-01-20;INC002000000612;7.53551;47;2;2;4;9
2020-01-20;INC002000000614;1.04149;101;1;2;4;10
2020-01-20;INC002000000615;11.5021;129;1;2;1;10
2020-01-20;INC002000000616;11.4906;129;1;2;1;10
2020-01-20;INC002000000617;8.48552;63;1;2;1;10
2020-01-20;INC002000000619;11.4705;129;1;2;1;10
2020-01-20;INC002000000620;8.00032;63;1;2;4;9
2020-01-20;INC002000000621;9.44044;175;1;2;4;10
2020-01-20;INC002000000622;8.43582;59;1;2;1;9
2020-01-20;INC002000000623;11.426;129;1;2;1;10
2020-01-20;INC002000000624;11.423;129;1;2;1;10
2020-01-20;INC002000000626;7.40369;39;2;2;1;9
2020-01-20;INC002000000628;7.37625;175;1;2;4;9
2020-01-20;INC002000000629;7.37531;42;2;2;4;10
2020-01-20;INC002000000630;37.3743;129;2;2;4;9
2020-01-20;INC002000000631;8.36876;154;2;2;4;10
2020-01-20;INC002000000632;9.367;129;1;2;4;9
2020-01-20;INC002000000634;9.35424;47;1;2;4;9
2020-01-20;INC002000000635;8.35229;154;1;2;4;9
2020-01-20;INC002000000636;8.3502;129;1;2;4;9
2020-01-20;INC002000000639;14.3326;39;2;2;4;10
2020-01-20;INC002000000640;8.33149;68;1;2;4;9
2020-01-20;INC002000000641;8.32748;53;1;2;4;9
2020-01-20;INC002000000642;15.2842;28;2;2;1;10
2020-01-20;INC002000000643;7.55036;63;1;2;4;9
2020-01-20;INC002000000644;8.2599;150;2;2;4;10
2020-01-20;INC002000000645;9.21754;103;1;2;4;10
2020-01-20;INC002000000646;9.21495;103;1;2;4;10
2020-01-20;INC002000000647;8.20148;53;2;2;4;10
2020-01-20;INC002000000648;11.1974;47;2;2;4;10
2020-01-20;INC002000000649;226.229;53;2;1;4;11
2020-01-20;INC002000000650;8.14268;101;2;2;1;10
2020-01-20;INC002000000651;16.1397;28;2;2;4;10
2020-01-21;INC002000000652;17.0825;101;2;2;1;10
2020-01-21;INC002000000653;100.103;47;2;2;1;10
2020-01-21;INC002000000654;9.8115;129;1;2;4;10
2020-01-21;INC002000000655;9.13924;33;1;2;4;9
2020-01-21;INC002000000656;7.78399;109;2;2;4;9
2020-01-21;INC002000000657;9.13728;33;2;2;2;9
2020-01-21;INC002000000659;7.76752;146;1;2;4;9
2020-01-21;INC002000000660;15.7587;68;1;2;4;10
2020-01-21;INC002000000665;13.7153;39;2;2;4;9
2020-01-21;INC002000000666;20.714;39;2;2;4;9
2020-01-21;INC002000000667;14.7097;39;1;2;4;9
2020-01-21;INC002000000669;7.70381;15;2;2;1;10
2020-01-21;INC002000000670;23.7035;135;1;2;2;10
2020-01-21;INC002000000671;8.0887;63;1;2;4;9
2020-01-21;INC002000000672;9.69887;47;1;2;4;10
2020-01-21;INC002000000674;8.6962;103;2;2;1;9
2020-01-21;INC002000000675;20.6889;47;2;2;4;10
2020-01-21;INC002000000676;7.68751;59;1;2;4;9
2020-01-21;INC002000000677;7.68725;44;1;2;1;9
2020-01-21;INC002000000678;7.68583;175;1;2;4;10
2020-01-21;INC002000000679;0.260093;63;1;2;4;9
2020-01-21;INC002000000680;8.68366;108;1;2;4;9
2020-01-21;INC002000000681;9.67766;101;1;2;4;9
2020-01-21;INC002000000683;63.6711;29;1;2;2;10
2020-01-21;INC002000000684;8.66696;108;1;2;4;9
2020-01-21;INC002000000685;7.6678;129;2;2;1;10
2020-01-21;INC002000000686;7.66741;43;1;2;1;9
2020-01-21;INC002000000687;7.66669;175;2;2;4;10
2020-01-21;INC002000000688;9.66303;68;2;2;4;10
2020-01-21;INC002000000689;13.6558;39;2;2;1;10
2020-01-21;INC002000000690;7.65122;15;2;2;4;9
2020-01-21;INC002000000692;7.64869;150;2;2;1;9
2020-01-21;INC002000000693;9.63923;162;1;2;4;9
2020-01-21;INC002000000694;92.6794;150;2;2;4;10
2020-01-21;INC002000000695;13.6258;39;2;2;1;9
2020-01-21;INC002000000696;9.62326;25;2;2;4;9
2020-01-21;INC002000000697;24.6025;47;2;2;1;10
2020-01-21;INC002000000698;8.59978;154;1;2;4;10
2020-01-21;INC002000000699;13.597;129;1;2;4;10
2020-01-21;INC002000000701;7.66616;175;1;2;1;9
2020-01-21;INC002000000702;6.99742;63;1;2;4;9
2020-01-21;INC002000000704;24.6571;27;1;2;2;10
2020-01-21;INC002000000705;13.6553;68;2;2;4;9
2020-01-21;INC002000000706;13.6485;39;2;2;1;9
2020-01-21;INC002000000707;14.6437;175;1;2;1;10
2020-01-21;INC002000000708;7.63787;29;1;2;4;9
2020-01-21;INC002000000709;7.63031;25;2;2;4;10
2020-01-21;INC002000000710;13.6297;129;2;2;4;9
2020-01-21;INC002000000711;14.6296;53;2;2;1;11
2020-01-21;INC002000000712;7.62722;159;1;2;4;10
2020-01-21;INC002000000715;15.6153;129;1;2;4;10
2020-01-21;INC002000000716;7.60478;146;1;2;4;10
2020-01-21;INC002000000717;7.59837;129;1;2;4;9
2020-01-21;INC002000000718;7.59811;129;1;2;4;9
2020-01-21;INC002000000719;10.5974;39;1;2;4;10
2020-01-21;INC002000000720;30.5961;129;1;2;4;10
2020-01-21;INC002000000721;17.5955;129;2;2;4;10
2020-01-21;INC002000000724;14.5892;161;1;2;4;9
2020-01-21;INC002000000725;9.58898;47;2;2;4;10
2020-01-21;INC002000000726;7.58763;129;1;2;4;9
2020-01-21;INC002000000727;55.5876;109;2;2;4;10
2020-01-21;INC002000000728;0.159965;63;1;2;4;10
2020-01-21;INC002000000729;10.5843;39;1;2;4;10
2020-01-21;INC002000000730;7.56456;62;1;2;4;10
2020-01-21;INC002000000731;7.55848;47;2;2;4;9
2020-01-21;INC002000000732;7.55641;129;1;2;4;9
